City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Rainfall in. (last 3 hrs.),Snowfall in. (last 3 hrs.)
53,Clyde River,CA,2019-11-08 01:24:31,70.47,-68.59,21.2,85,90,11.41,overcast clouds,0.0,0.0
54,Mataura,NZ,2019-11-08 01:20:33,-46.19,168.86,66.25,42,0,12.03,clear sky,0.0,0.0
55,Torbay,CA,2019-11-08 01:24:31,47.66,-52.73,37.4,74,40,16.11,scattered clouds,0.0,0.0
56,Praia,BR,2019-11-08 01:24:32,-20.25,-43.81,78.8,54,47,6.93,scattered clouds,0.0,0.0
57,Turiacu,BR,2019-11-08 01:24:32,-5.01,-63.0,75.76,92,95,2.33,overcast clouds,0.0,0.0
58,Gazli,UZ,2019-11-08 01:24:32,40.13,63.45,40.3,39,0,12.95,clear sky,0.0,0.0
59,Chiredzi,ZW,2019-11-08 01:24:33,-21.05,31.67,75.04,53,23,4.9,few clouds,0.0,0.0
60,Geraldton,CA,2019-11-08 01:24:33,49.72,-86.95,12.2,78,90,6.93,light snow,0.0,0.0
61,Tezu,IN,2019-11-08 01:24:33,27.93,96.16,66.6,48,83,2.55,broken clouds,0.0,0.0
62,Jiayuguan,CN,2019-11-08 01:24:06,39.77,98.29,33.01,66,49,3.0,scattered clouds,0.0,0.0
63,Okato,NZ,2019-11-08 01:24:34,-39.19,173.88,61.36,90,83,15.64,light rain,0.31,0.0
64,Matara,BI,2019-11-08 01:24:34,-3.48,29.48,58.66,81,92,3.15,overcast clouds,0.0,0.0
65,San Cristobal,HN,2019-11-08 01:24:34,14.68,-86.92,67.64,94,92,4.0,light rain,0.75,0.0
66,Te Anau,NZ,2019-11-08 01:24:34,-45.41,167.72,50.32,77,71,7.87,light rain,0.94,0.0
67,Ayan,IR,2019-11-08 01:24:34,38.23,44.7,32.99,47,0,0.76,clear sky,0.0,0.0
68,Lebu,ET,2019-11-08 01:24:35,8.96,38.73,55.4,62,40,3.36,scattered clouds,0.0,0.0
69,Mahebourg,MU,2019-11-08 01:24:35,-20.41,57.7,75.2,78,40,12.75,shower rain,0.0,0.0
70,Faanui,PF,2019-11-08 01:24:35,-16.48,-151.75,80.47,80,19,19.77,light rain,0.94,0.0
71,Chapais,CA,2019-11-08 01:24:36,49.78,-74.86,21.2,85,90,6.93,light snow,0.0,0.0
72,Severo-Kurilsk,RU,2019-11-08 01:24:36,50.68,156.12,37.17,89,100,16.64,snow,0.0,4.25
73,Kyaikkami,MM,2019-11-08 01:24:36,16.08,97.57,80.55,78,99,9.86,light rain,1.56,0.0
74,Sasaram,IN,2019-11-08 01:24:36,24.95,84.01,64.54,58,100,1.72,overcast clouds,0.0,0.0
75,Kibala,TD,2019-11-08 01:24:36,9.11,18.35,75.51,46,16,2.08,few clouds,0.0,0.0
76,Yumen,CN,2019-11-08 01:24:37,40.29,97.04,35.58,49,66,8.01,broken clouds,0.0,0.0
77,Santo Antonio Do Leverger,BR,2019-11-08 01:24:37,-15.87,-56.08,78.8,78,97,5.61,light rain,0.31,0.0
78,Burnie,AU,2019-11-08 01:24:37,-41.05,145.91,52.65,53,100,12.06,light rain,0.12,0.0
79,Atuona,PF,2019-11-08 01:24:37,-9.8,-139.03,80.55,78,0,13.22,light rain,0.31,0.0
80,Tasiilaq,GL,2019-11-08 01:24:37,65.61,-37.64,30.2,86,100,38.03,light snow,0.0,0.0
81,Boa Vista,BR,2019-11-08 01:24:37,2.82,-60.67,84.2,62,74,3.36,broken clouds,0.0,0.0
82,Dikson,RU,2019-11-08 01:24:38,73.51,80.55,-11.48,95,69,14.47,broken clouds,0.0,0.0
83,Rayadrug,IN,2019-11-08 01:24:38,14.7,76.87,74.23,79,95,4.21,light rain,1.0,0.0
84,Alofi,NU,2019-11-08 01:24:38,-19.06,-169.92,77.0,88,75,9.17,broken clouds,0.0,0.0
85,Saint-Philippe,CA,2019-11-08 01:24:38,45.36,-73.48,32.0,74,75,9.17,broken clouds,0.0,0.0
86,Abu Dhabi,AE,2019-11-08 01:21:01,24.47,54.37,77.0,83,83,1.12,broken clouds,0.0,0.0
87,Kloulklubed,PW,2019-11-08 01:24:39,7.04,134.26,84.2,79,90,6.93,overcast clouds,0.0,0.0
88,San Patricio,PY,2019-11-08 01:24:40,-26.98,-56.83,73.26,91,1,5.14,clear sky,0.0,0.0
89,Flinders,AU,2019-11-08 01:24:40,-34.58,150.85,77.0,22,0,25.28,clear sky,0.0,0.0
90,Bosaso,SO,2019-11-08 01:24:40,11.28,49.18,82.02,70,1,1.97,clear sky,0.0,0.0
91,Fairbanks,US,2019-11-08 01:22:44,64.84,-147.72,24.8,92,90,3.36,mist,0.0,0.0
