City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Richards Bay,ZA,2019-11-08 20:22:17,-28.77,32.06,70.09,77,82,10.87
70,Cidreira,BR,2019-11-08 20:17:24,-30.17,-50.22,71.49,86,0,14.9
71,Lakselv,NO,2019-11-08 20:22:18,70.05,24.96,21.2,85,75,10.29
72,Port Macquarie,AU,2019-11-08 20:22:18,-31.43,152.91,62.01,41,40,17.22
73,Chegdomyn,RU,2019-11-08 20:22:18,51.13,133.04,-0.53,97,92,1.1
74,Nantucket,US,2019-11-08 20:22:18,41.28,-70.1,37.4,32,75,19.46
75,Emba,CY,2019-11-08 20:22:18,34.81,32.42,68.0,63,0,9.17
76,Bandarbeyla,SO,2019-11-08 20:22:19,9.49,50.81,80.56,77,3,13.85
77,Kampong Thum,KH,2019-11-08 20:22:19,12.71,104.89,70.3,91,100,4.47
78,Margate,AU,2019-11-08 20:22:19,-43.03,147.26,44.6,70,75,13.87
79,Mount Gambier,AU,2019-11-08 20:18:43,-37.83,140.78,48.2,81,90,9.17
80,Fairbanks,US,2019-11-08 20:22:20,64.84,-147.72,19.0,72,1,8.05
81,Shelburne,CA,2019-11-08 20:22:20,44.08,-80.2,33.01,68,20,5.91
82,Qaanaaq,GL,2019-11-08 20:22:20,77.48,-69.36,-4.18,59,0,7.23
83,Tuktoyaktuk,CA,2019-11-08 20:22:20,69.44,-133.03,6.8,77,90,5.82
84,Yerbogachen,RU,2019-11-08 20:22:21,61.28,108.01,29.01,95,100,12.75
85,Naron,ES,2019-11-08 20:22:21,43.52,-8.15,57.0,76,40,5.82
86,Havoysund,NO,2019-11-08 20:22:21,71.0,24.66,26.6,85,40,9.17
87,Kruisfontein,ZA,2019-11-08 20:22:21,-34.0,24.73,53.33,89,16,5.39
88,Kandrian,PG,2019-11-08 20:22:22,-6.21,149.55,76.32,91,100,1.99
89,Padang,ID,2019-11-08 20:22:22,-0.92,100.36,66.61,93,100,2.66
90,Ancud,CL,2019-11-08 20:22:22,-41.87,-73.83,59.0,58,48,9.17
91,Lompoc,US,2019-11-08 20:22:22,34.64,-120.46,86.0,24,1,4.7
92,Tigil,RU,2019-11-08 20:22:22,57.8,158.67,33.21,77,40,14.72
93,Warragul,AU,2019-11-08 20:20:31,-38.16,145.93,48.99,93,86,5.01
94,Maine-Soroa,NE,2019-11-08 20:22:23,13.21,12.02,83.97,15,67,8.41
95,Ludenscheid,DE,2019-11-08 20:22:23,51.22,7.62,44.01,93,90,4.7
96,Victoria,BN,2019-11-08 20:22:23,5.28,115.24,75.2,94,75,2.24
97,Tikhvin,RU,2019-11-08 20:22:24,59.64,33.53,28.99,93,98,57.0
